ASV;host_species;Phylum;Class;Order;Family;Genus;Species;Prevalence;TotalAbundance;MeanAbundance;RelAbund;RelPrev;meanUniq;Sample_size;closeness;betweenness;degree;hubbiness;weighted_deg;sum_pos;sum_neg;Freq_won;Freq_lost;Proportion_positive;proportion_negative
0029d1a452fe37b0ff76a9c1da5ccf21;Human;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;CAG-56;D_6__uncultured bacterium;150;3504;0.001536842;0.153684211;0.657894737;0.047479286;228;3.40E-05;2;8;0.008983549;0.385109377;7;1;1;0;0.875;0.125
002d8e6d61fc6ac713cbf69321c0d8e3;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;33;238;0.000175;0.0175;0.242647059;0.046562035;136;0.011349993;5208;35;0.261975549;1.355483989;28;7;3;4;0.8;0.2
003326352ee9c190984775a7ee4662a6;Deer;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;NA;25;435;0.000319853;0.031985294;0.183823529;0.01844678;136;0.012652019;0;34;0.510088478;2.271015181;31;3;3;0;0.911764706;0.088235294
0035bc8b64e7f43d772cda00043cb89a;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;D_6__uncultured rumen bacterium;23;115;8.46E-05;0.008455882;0.169117647;0.047688045;136;0.012761435;18815;28;0.175446159;0.927660284;13;15;3;12;0.464285714;0.535714286
005ab17d151f224581f9bdfd7d1b740a;Spinyrat;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;D_6__uncultured bacterium;30;2294;0.001170408;0.117040816;0.153061225;0.05777366;196;1.57E-05;1008;5;0.006291569;0.162896421;5;0;0;0;1;0
0070201d1f3de9573969cfe9bbbba444;Mouselemur;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;D_6__uncultured bacterium;22;1512;0.000830769;0.083076923;0.120879121;0.588776064;182;0.000213176;0;1;0.00039921;0.092435111;1;0;0;0;1;0
007d8a27482d5dced022d09c9ec3c781;Deer;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;D_6__Bacillus psychrosaccharolyticus;15;940;0.000691176;0.069117647;0.110294118;0.003923685;136;0.011560867;34;24;0.101788545;0.828499473;14;10;8;2;0.583333333;0.416666667
008afd1e6acefa21f274ed34665cfdc5;Deer;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;NA;45;132;9.71E-05;0.009705882;0.330882353;0.091104132;136;0.012190154;28680;26;0.310822193;1.361053891;17;9;0;9;0.653846154;0.346153846
00937d4841ed7654bb96717eb61827a2;Deer;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;uncultured rumen bacterium;D_6__uncultured rumen bacterium;43;186;0.000136765;0.013676471;0.316176471;0.252790672;136;0.012436125;13318;31;0.279854164;1.420033944;23;8;2;6;0.741935484;0.258064516
0097dab530b5f6d1fd98ad1e265d2182;Deer;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae XPB1014 group;NA;29;180;0.000132353;0.013235294;0.213235294;0.113421384;136;0.010901502;44;25;0.222234869;1.071792938;18;7;1;6;0.72;0.28
